time,open,high,low,close,MACD,Signal Line,Histogram,Cross
1521676800,559.15,578.6,516,539.92,-81.78620808062499,-75.94574088955794,-5.840467191067049,NaN
1521763200,539.78,544.72,506.71,543.03,-80.46946348211418,-78.1419620440422,-2.3275014380719767,NaN
1521849600,543.2,545.99,518.63,520.22,-80.34039619288637,-79.75754188695545,-0.5828543059309226,NaN
1521936000,521.17,536,512,523.74,-79.0429173059656,-80.78190675029194,1.7389894443263358,-80.78190675029194
1522022400,523.95,527.67,465.56,485,-80.21597040246968,-81.21297810000617,0.997007697536489,NaN
1522108800,485,491.55,446,448.5,-83.13256789514412,-81.4096334906179,-1.7229344045262138,-81.4096334906179
1522195200,448.5,466,440.14,446.67,-84.61625461567087,-81.61281655047921,-3.0034380651916592,NaN
1522281600,446.07,449.43,380,384,-89.81371566889646,-82.37534161453092,-7.438374054365539,NaN
1522368000,383.87,412.04,366,392.43,-92.18980377989772,-83.51192193596331,-8.6778818439344,NaN
1522454400,392.4,419.4,388.52,393.92,-92.88195482093971,-84.74478268488718,-8.137172136052527,NaN
1522540800,393.93,399.91,356.9,378.58,-93.58945828818418,-86.20255988556163,-7.386898402622549,NaN
1522627200,378.58,394.87,375,385.05,-92.56109823217133,-87.56041566770439,-5.000682564466942,NaN
1522713600,385,419.08,380.13,415.01,-88.31060419133883,-88.59015865496809,0.2795544636292675,-88.59015865496809
1522800000,415,416.5,370,378.16,-86.91365753038644,-89.33434611362551,2.4206885832390697,NaN
1522886400,378.15,387.03,365.61,381.22,-84.58461205493501,-89.49568435360227,4.911072298667264,NaN
1522972800,381.56,385.91,362.54,368.89,-82.77952386698945,-89.29160315930434,6.512079292314894,NaN
1523059200,368.89,394.75,368.28,384.51,-79.17588470131142,-88.10962194068378,8.933737239372363,NaN
1523145600,384.51,404.05,384,400.4,-74.182653050694,-86.10882741521671,11.926174364522709,NaN
1523232000,400.4,431.99,387.1,399.44,-69.50177180817957,-83.5110293026878,14.009257494508233,NaN
1523318400,399.25,418.68,391.4,416.07,-63.71576203916487,-80.19172971946344,16.475967680298567,NaN
1523404800,415.53,433.54,410.38,429.52,-57.383523478949144,-76.28311030243874,18.8995868234896,NaN
1523491200,429.9,499,412.88,495.67,-46.49150154739607,-71.63654334200065,25.14504179460458,NaN
1523577600,494.3,530,480.22,495.11,-37.4727208141577,-66.14310592908635,28.67038511492865,NaN
1523664000,494.69,515,485.58,502.68,-29.37581031587513,-60.008794624746365,30.632984308871237,NaN
1523750400,502.68,535,502.51,533.88,-20.208421061484216,-53.05644986857911,32.84802880709489,NaN
1523836800,533.88,538,497.31,511.46,-14.584188214750725,-45.87959470340571,31.295406488654983,NaN
1523923200,512.09,521.2,500.02,502.56,-10.721507913580638,-38.82835635483755,28.106848441256915,NaN
1524009600,502.56,526.99,501.12,526.09,-5.695971974902307,-31.738823040028965,26.04285106512666,NaN
